LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
-65.396551,98.782548,10046.5144,  0.00,1621.0013,2019111501001,1631.48,1631.48,1
-65.396583,98.782236,10046.6220,  0.00,1619.8206,2019111501001,1629.68,1629.68,1
-65.396615,98.781923,10046.7296,  0.00,1618.6397,2019111501001,1627.10,1627.10,1
-65.396647,98.781611,10046.8372,  0.00,1617.4585,2019111501001,1625.00,1625.00,1
-65.396679,98.781298,10046.9448,  0.00,1616.2772,2019111501001,1624.06,1624.06,1
-65.396711,98.780986,10047.0524,  0.00,1615.0954,2019111501001,1623.87,1623.87,1
-65.396743,98.780674,10047.1599,  0.00,1613.9133,2019111501001,1623.87,1623.87,1
-65.396775,98.780361,10047.2675,  0.00,1612.7309,2019111501001,1623.84,1623.84,1
-65.396807,98.780049,10047.3750,  0.00,1611.5480,2019111501001,1623.35,1623.35,1
-65.396839,98.779736,10047.4826,  0.00,1610.3645,2019111501001,1621.71,1621.71,1
-65.396871,98.779424,10047.5901,  0.00,1609.1806,2019111501001,1619.13,1619.13,1
-65.396903,98.779112,10047.6976,  0.00,1607.9962,2019111501001,1616.89,1616.89,1
-65.396935,98.778799,10047.8051,  0.00,1606.8111,2019111501001,1615.79,1615.79,1
-65.396967,98.778487,10047.9126,  0.00,1605.6256,2019111501001,1615.30,1615.30,1
-65.396999,98.778175,10048.0201,  0.00,1604.4396,2019111501001,1614.15,1614.15,1
-65.397031,98.777862,10048.1276,  0.00,1603.2534,2019111501001,1611.84,1611.84,1
-65.397063,98.777550,10048.2351,  0.00,1602.0669,2019111501001,1609.25,1609.25,1
-65.397095,98.777238,10048.3426,  0.00,1600.8802,2019111501001,1607.65,1607.65,1
-65.397127,98.776925,10048.4501,  0.00,1599.6931,2019111501001,1607.13,1607.13,1
-65.397159,98.776613,10048.5575,  0.00,1598.5052,2019111501001,1606.46,1606.46,1
-65.397191,98.776301,10048.6649,  0.00,1597.3170,2019111501001,1604.66,1604.66,1
-65.397223,98.775988,10048.7724,  0.00,1596.1283,2019111501001,1602.08,1602.08,1
-65.397255,98.775676,10048.8798,  0.00,1594.9394,2019111501001,1600.00,1600.00,1
-65.397287,98.775363,10048.9872,  0.00,1593.7495,2019111501001,1599.08,1599.08,1
-65.397319,98.775051,10049.0947,  0.00,1592.5598,2019111501001,1598.90,1598.90,1
-65.397351,98.774739,10049.2021,  0.00,1591.3709,2019111501001,1598.90,1598.90,1
-65.397383,98.774426,10049.3095,  0.00,1590.1826,2019111501001,1598.90,1598.90,1
-65.397415,98.774114,10049.4168,  0.00,1588.9953,2019111501001,1598.90,1598.90,1
-65.397447,98.773802,10049.5242,  0.00,1587.8081,2019111501001,1598.90,1598.90,1
-65.397479,98.773489,10049.6316,  0.00,1586.6206,2019111501001,1598.75,1598.75,1
-65.397511,98.773177,10049.7390,  0.00,1585.4328,2019111501001,1597.93,1597.93,1
-65.397543,98.772865,10049.8463,  0.00,1584.2451,2019111501001,1595.97,1595.97,1
-65.397575,98.772552,10049.9537,  0.00,1583.0574,2019111501001,1593.37,1593.37,1
-65.397607,98.772240,10050.0610,  0.00,1581.8693,2019111501001,1591.43,1591.43,1
-65.397639,98.771927,10050.1683,  0.00,1580.6807,2019111501001,1590.67,1590.67,1
-65.397672,98.771615,10050.2756,  0.00,1579.4918,2019111501001,1590.21,1590.21,1
-65.397704,98.771303,10050.3830,  0.00,1578.3026,2019111501001,1588.79,1588.79,1
-65.397736,98.770990,10050.4903,  0.00,1577.1132,2019111501001,1586.24,1586.24,1
-65.397768,98.770678,10050.5976,  0.00,1575.9240,2019111501001,1583.83,1583.83,1
-65.397800,98.770366,10050.7048,  0.00,1574.7346,2019111501001,1582.54,1582.54,1
-65.397832,98.770053,10050.8121,  0.00,1573.5453,2019111501001,1582.24,1582.24,1
-65.397864,98.769741,10050.9194,  0.00,1572.3563,2019111501001,1582.24,1582.24,1
-65.397896,98.769429,10051.0267,  0.00,1571.1677,2019111501001,1582.24,1582.24,1
-65.397928,98.769116,10051.1339,  0.00,1569.9789,2019111501001,1582.00,1582.00,1
-65.397960,98.768804,10051.2412,  0.00,1568.7900,2019111501001,1580.76,1580.76,1
-65.397993,98.768492,10051.3484,  0.00,1567.6016,2019111501001,1578.32,1578.32,1
-65.398025,98.768180,10051.4556,  0.00,1566.4136,2019111501001,1575.77,1575.77,1
-65.398057,98.767867,10051.5628,  0.00,1565.2265,2019111501001,1574.27,1574.27,1
-65.398089,98.767555,10051.6700,  0.00,1564.0399,2019111501001,1573.79,1573.79,1
-65.398121,98.767243,10051.7773,  0.00,1562.8537,2019111501001,1573.02,1573.02,1
-65.398154,98.766931,10051.8844,  0.00,1561.6682,2019111501001,1571.09,1571.09,1
-65.398186,98.766618,10051.9916,  0.00,1560.4830,2019111501001,1568.45,1568.45,1
-65.398218,98.766306,10052.0988,  0.00,1559.2984,2019111501001,1566.43,1566.43,1
-65.398250,98.765994,10052.2060,  0.00,1558.1138,2019111501001,1565.66,1565.66,1
-65.398283,98.765682,10052.3132,  0.00,1556.9296,2019111501001,1565.27,1565.27,1
-65.398315,98.765369,10052.4203,  0.00,1555.7452,2019111501001,1563.92,1563.92,1
-65.398347,98.765057,10052.5275,  0.00,1554.5615,2019111501001,1561.37,1561.37,1
-65.398379,98.764745,10052.6346,  0.00,1553.3780,2019111501001,1558.89,1558.89,1
-65.398412,98.764433,10052.7417,  0.00,1552.1959,2019111501001,1557.55,1557.55,1
-65.398444,98.764121,10052.8489,  0.00,1551.0143,2019111501001,1557.26,1557.26,1
-65.398476,98.763808,10052.9560,  0.00,1549.8332,2019111501001,1557.26,1557.26,1
-65.398509,98.763496,10053.0631,  0.00,1548.6525,2019111501001,1557.26,1557.26,1
